Question,Answers,Comment,Instruction,Render as
家,"カ, ケ, いえ, や, うち",house,Write this word in kana.,Image
百,"ヒャク, ビャク, もも",hundred,Write this word in kana.,Image
私,"シ, わたし, わたくし",i,Write this word in kana.,Image
意,イ,idea,Write this word in kana.,Image
前,"ゼン, まえ",in front,Write this word in kana.,Image
中,"ジュウ, チュウ, なか, うち, あた",inside,Write this word in kana.,Image
院,イン,institution,Write this word in kana.,Image
間,"カン, ケン, ゲン, あいだ, ま, あい",interval,Write this word in kana.,Image
鍵,"ケン, かぎ",key,Write this word in kana.,Image
灯,"トウ, ひ",lamp,Write this word in kana.,Image
大,"タイ, ダイ, おお",large,Write this word in kana.,Image
遅,"チ, おく, おそ",late,Write this word in kana.,Image
鉛,"エン, なまり",lead,Write this word in kana.,Image
葉,"ヨウ, は, ば",leaf,Write this word in kana.,Image
学,"ガク, ガッ, まな",learning,Write this word in kana.,Image
左,"サ, ひだり",left,Write this word in kana.,Image
足,"ソク, あし, た",leg,Write this word in kana.,Image
生,"セイ, う, い",life,Write this word in kana.,Image
明,"メイ, ミョウ, あか, あき",light,Write this word in kana.,Image
小,"ショウ, こ, ちい, お",little,Write this word in kana.,Image
長,"チョウ, なが, おさ",long,Write this word in kana.,Image
男,"ダン, ナン, おとこ, お",man,Write this word in kana.,Image
多,"タ, おお",many,Write this word in kana.,Image
図,"ト, ズ, はか",map,Write this word in kana.,Image
事,"ジ, こと, ごと",matter,Write this word in kana.,Image
肉,ニク,meat,Write this word in kana.,Image
機,"キ, はた",mechanism,Write this word in kana.,Image
医,イ,medicine,Write this word in kana.,Image
会,"カイ, エ, あ",meeting,Write this word in kana.,Image
覚,"カク, おぼ, さ",memorize,Write this word in kana.,Image
都,"ト, ツ, みやこ",metropolis,Write this word in kana.,Image
乳,"ニュウ, ち",milk,Write this word in kana.,Image
月,"ゲツ, つき",moon,Write this word in kana.,Image
朝,"チョウ, あさ",morning,Write this word in kana.,Image
母,"ボ, はは, も",mother,Write this word in kana.,Image
山,"サン, ザン, セン, やま",mountain,Write this word in kana.,Image
口,"コウ, ク, くち, ぐち",mouth,Write this word in kana.,Image
楽,"ラク, ガク, たの",music,Write this word in kana.,Image
名,"メイ, ミョウ, な",name,Write this word in kana.,Image
新,"シン, あら, あたら",new,Write this word in kana.,Image
号,ゴウ,nickname,Write this word in kana.,Image
夜,"ヤ, よ",night,Write this word in kana.,Image
晩,バン,nightfall,Write this word in kana.,Image
九,"キュウ, ク, ここの",nine,Write this word in kana.,Image
午,"ゴ, うま",noon,Write this word in kana.,Image
北,"ホク, ホッ, きた",north,Write this word in kana.,Image
今,"コン, こ, いま",now,Write this word in kana.,Image
数,"スウ, かぞ",number,Write this word in kana.,Image
古,"ゴ, コ, ふる",old,Write this word in kana.,Image
一,"イツ, イッ, イチ, ひと",one,Write this word in kana.,Image
外,"ガイ, そと, ほた, はず, と",outside,Write this word in kana.,Image
園,"エン, その",park,Write this word in kana.,Image
分,"フン, ブン, いた, わけ",part,Write this word in kana.,Image
台,"タイ, ダイ",pedestal,Write this word in kana.,Image
人,"ニン, ジン, り, ひと",person,Write this word in kana.,Image
画,"ガ, カク, エ, えが",picture,Write this word in kana.,Image
豚,"トン, ぶた",pig,Write this word in kana.,Image
所,"ショ, ところ, どころ",place,Write this word in kana.,Image
池,"チ, いけ",pond,Write this word in kana.,Image
力,"リョク, リキ, ちから",power,Write this word in kana.,Image
昨,サク,previous,Write this word in kana.,Image
雨,"ウ, あめ, さめ",rain,Write this word in kana.,Image
読,"ドク, トク, トウ, よ",read,Write this word in kana.,Image
赤,"セキ, シャク, あか",red,Write this word in kana.,Image
映,"エイ, うつ, は",reflection,Write this word in kana.,Image
安,"アン, やす",relax,Write this word in kana.,Image
休,"キュウ, やす",rest,Write this word in kana.,Image
帰,"-, かえ",result in,Write this word in kana.,Image
転,"テン, ころ",revolve,Write this word in kana.,Image
田,"デン, た",rice field,Write this word in kana.,Image
乗,"ジョウ, の",ride,Write this word in kana.,Image
右,"ウ, ユウ, みぎ",right,Write this word in kana.,Image
川,"セン, かわ, がわ",river,Write this word in kana.,Image
屋,"オク, や",roof,Write this word in kana.,Image
走,"ソウ, はし",run,Write this word in kana.,Image
塩,"エン, しお",salt,Write this word in kana.,Image
砂,"サ, シャ, すな",sand,Write this word in kana.,Image
言,"ゲン, ゴン, こと, い",say,Write this word in kana.,Image
校,コウ,school,Write this word in kana.,Image
海,"カイ, うみ",sea,Write this word in kana.,Image
見,"ケン, み",see,Write this word in kana.,Image
売,"バイ, う",sell,Write this word in kana.,Image
文,"モ, ブン, ふみ, あや",sentence,Write this word in kana.,Image
七,"シチ, なな, なの",seven,Write this word in kana.,Image
靴,"カ, くつ",shoes,Write this word in kana.,Image
店,"テン, みせ, やな",shop,Write this word in kana.,Image
閉,"ヘイ, し, と",shut,Write this word in kana.,Image
銀,ギン,silver,Write this word in kana.,Image
六,"ロク, リク, む, むっ, むい",six,Write this word in kana.,Image
天,"テン, あめ, あま",sky,Write this word in kana.,Image
雪,"セツ, ゆき",snow,Write this word in kana.,Image
土,"ド, ト, つち",soil,Write this word in kana.,Image
答,"トウ, こた, ごた",solution,Write this word in kana.,Image
者,"シャ, もの",someone,Write this word in kana.,Image
歌,"カ, うた",song,Write this word in kana.,Image
音,"オン, おと",sound,Write this word in kana.,Image
南,"ナン, みなみ",south,Write this word in kana.,Image
気,"キ, ケ",spirit,Write this word in kana.,Image
春,"シュン, はる",spring,Write this word in kana.,Image
立,"リツ, リュウ, た",stand,Write this word in kana.,Image
駅,エキ,station,Write this word in kana.,Image
止,"シ, と, ど, や",stop,Write this word in kana.,Image
道,"トウ, ドウ, みち",street,Write this word in kana.,Image
糖,トウ,sugar,Write this word in kana.,Image
夏,"カ, ゲ, なつ",summer,Write this word in kana.,Image
日,"ニ, ニチ, ニッ, ジツ, ひ, び, か",sun,Write this word in kana.,Image
表,"ピョウ, あらわ",surface,Write this word in kana.,Image
取,"シュ, と",take,Write this word in kana.,Image
話,"ワ, はな, はなし",talk,Write this word in kana.,Image
高,"コウ, たか",tall,Write this word in kana.,Image
茶,"チャ, サ, ちや",tea,Write this word in kana.,Image
十,"ジュウ, ジ, ジュ, とお, と",ten,Write this word in kana.,Image
万,"マン, バン, よろず",ten thousand,Write this word in kana.,Image
辞,"ジ, や",term,Write this word in kana.,Image
物,"ブツ, もの",thing,Write this word in kana.,Image
千,"セン, ち",thousand,Write this word in kana.,Image
三,"サン, み, みっ",three,Write this word in kana.,Image
歯,"シ, は",tooth,Write this word in kana.,Image
町,"チョウ, まち",town,Write this word in kana.,Image
木,"モク, ボク, き, こ",tree,Write this word in kana.,Image
番,"バン, は, ま",turn,Write this word in kana.,Image
二,"ニ, ジ, ふた, ふつ",two,Write this word in kana.,Image
傘,"サン, かさ",umbrella,Write this word in kana.,Image
菜,"サイ, な",vegetable,Write this word in kana.,Image
歩,"ホ, ポ, ブ, ある, あゆ",walk,Write this word in kana.,Image
洗,"セン, あら",wash,Write this word in kana.,Image
水,"スイ, みず",water,Write this word in kana.,Image
週,シュウ,week,Write this word in kana.,Image
曜,ヨウ,weekday,Write this word in kana.,Image
西,"セイ, サイ, にし",west,Write this word in kana.,Image
何,"カ, なん, なに",what,Write this word in kana.,Image
白,"ハク, パク, ビャク, しろ, しら",white,Write this word in kana.,Image
風,"プウ, フウ, フ, かぜ, かざ",wind,Write this word in kana.,Image
窓,"ソウ, まど",window,Write this word in kana.,Image
冬,"トウ, ふゆ",winter,Write this word in kana.,Image
女,"ジョ, ニョ, ニョウ, おんな, め",woman,Write this word in kana.,Image
語,"ゴ, がたり",word,Write this word in kana.,Image
書,"ショ, か",write,Write this word in kana.,Image
筆,"ヒツ, ヒッ, ピツ, ふで",writing brush,Write this word in kana.,Image
年,"ネン, とし",year,Write this word in kana.,Image
歳,"サイ, セイ, とし",year-end,Write this word in kana.,Image
弟,"ダイ, デ, テイ, おとうと",younger brother,Write this word in kana.,Image
妹,"マイ, いもうと",younger sister,Write this word in kana.,Image
