Question,Answers,Comment,Instruction,Render as
大半,タイハン,majority [noun],Write this word in kana.,Image
やり方,やりかた,manner of doing [noun],Write this word in kana.,Image
多く,おおく,many [noun],Write this word in kana.,Image
長年,ながネン,many years [noun],Write this word in kana.,Image
地図,チズ,map [noun],Write this word in kana.,Image
数学者,スウガクシャ,mathematician [noun],Write this word in kana.,Image
数学,スウガク,mathematics [noun],Write this word in kana.,Image
食事,ショクジ,meal [noun],Write this word in kana.,Image
意味,イミ,meaning [noun],Write this word in kana.,Image
医学,イガク,medical science [noun],Write this word in kana.,Image
医学者,イガクシャ,medical scientist [noun],Write this word in kana.,Image
覚え,おぼえ,memory [noun],Write this word in kana.,Image
仕方,シかた,method [noun],Write this word in kana.,Image
半ば,なかば,middle [noun],Write this word in kana.,Image
中東,チュウトウ,middle east [noun],Write this word in kana.,Image
牛乳,ギュウニュウ,milk [noun],Write this word in kana.,Image
月曜日,ゲツヨウび,monday [noun],Write this word in kana.,Image
お金/御金,おかね,money [noun],Write this word in kana.,Image
午前,ゴゼン,"morning, a.m. [noun]",Write this word in kana.,Image
映画,エイガ,movie [noun],Write this word in kana.,Image
博物館,ハクブツカン,museum [noun],Write this word in kana.,Image
音楽,オンガク,music [noun],Write this word in kana.,Image
名古屋,なゴや,nagoya [noun],Write this word in kana.,Image
新車,シンシャ,new car [noun],Write this word in kana.,Image
新聞,シンブン,newspaper [noun],Write this word in kana.,Image
来月,ライゲツ,next month [noun],Write this word in kana.,Image
来週,ライシュウ,next week [noun],Write this word in kana.,Image
来年,ライネン,next year [noun],Write this word in kana.,Image
あだ名,あだな,nickname [noun],Write this word in kana.,Image
九日,ここのか,nine days [noun],Write this word in kana.,Image
北方,ホッポウ,north [noun],Write this word in kana.,Image
一番,イチバン,number one [noun],Write this word in kana.,Image
事務所,ジムショ,office [noun],Write this word in kana.,Image
一日,イチニチ,one day [noun],Write this word in kana.,Image
一台,イチダイ,one machine [noun],Write this word in kana.,Image
一時,イチジ,one o'clock [noun],Write this word in kana.,Image
一方,イッポウ,one of two [noun],Write this word in kana.,Image
一人,ひとり,one person [noun],Write this word in kana.,Image
千日,センニチ,one thousand days [noun],Write this word in kana.,Image
意見,イケン,opinion [noun],Write this word in kana.,Image
遠足,エンソク,outing [noun],Write this word in kana.,Image
夜来,ヤライ,overnight [noun],Write this word in kana.,Image
画家,ガカ,painter [noun],Write this word in kana.,Image
公園,コウエン,park [noun],Write this word in kana.,Image
鉛筆,エンピツ,pencil [noun],Write this word in kana.,Image
私事,シジ,personal affairs [noun],Write this word in kana.,Image
人口,ジンコウ,population [noun],Write this word in kana.,Image
豚肉,ぶたニク,pork [noun],Write this word in kana.,Image
私立,シリツ,private establish [noun],Write this word in kana.,Image
弟子,デシ,pupil [noun],Write this word in kana.,Image
生徒,セイト,pupil [noun],Write this word in kana.,Image
子犬,こいぬ,puppy [noun],Write this word in kana.,Image
雨天,ウテン,rainy weather [noun],Write this word in kana.,Image
菜の花,なのはな,rapeseed [noun],Write this word in kana.,Image
読書,ドクショ,reading [noun],Write this word in kana.,Image
冷蔵庫,レイゾウコ,refrigerator [noun],Write this word in kana.,Image
休み,やすみ,rest [noun],Write this word in kana.,Image
口答え,くちごたえ,retort [noun],Write this word in kana.,Image
帰り,かえり,return [noun],Write this word in kana.,Image
部屋,へや,room [noun],Write this word in kana.,Image
走者,ソウシャ,runner [noun],Write this word in kana.,Image
食塩水,ショクエンスイ,saline water [noun],Write this word in kana.,Image
土曜日,ドヨウび,saturday [noun],Write this word in kana.,Image
学者,ガクシャ,scholar [noun],Write this word in kana.,Image
学校,ガッコウ,school [noun],Write this word in kana.,Image
校庭,コウテイ,schoolyard [noun],Write this word in kana.,Image
科学,カガク,science [noun],Write this word in kana.,Image
科学者,カガクシャ,scientist [noun],Write this word in kana.,Image
上映,ジョウエイ,screening [noun],Write this word in kana.,Image
番号,バンゴウ,series of digits [noun],Write this word in kana.,Image
七日,なのか,seven days [noun],Write this word in kana.,Image
買い物,かいもの,shopping [noun],Write this word in kana.,Image
歌手,カシュ,singer [noun],Write this word in kana.,Image
姉妹,シマイ,sisters [noun],Write this word in kana.,Image
六日,むいか,six days [noun],Write this word in kana.,Image
少し,すこし,small quantity [noun],Write this word in kana.,Image
社会,シャカイ,society [noun],Write this word in kana.,Image
靴下,くつした,socks [noun],Write this word in kana.,Image
長椅子,ながイス,sofa [noun],Write this word in kana.,Image
時々,ときどき,sometimes [noun],Write this word in kana.,Image
物音,ものおと,sounds [noun],Write this word in kana.,Image
南方,ナンポウ,south [noun],Write this word in kana.,Image
火花,ひばな,spark [noun],Write this word in kana.,Image
春休み,はるやすみ,spring break [noun],Write this word in kana.,Image
発言,ハツゲン,statement [noun],Write this word in kana.,Image
椅子,イス,stool [noun],Write this word in kana.,Image
お話,おはなし,story [noun],Write this word in kana.,Image
小川,おがわ,stream [noun],Write this word in kana.,Image
学生,ガクセイ,student [noun],Write this word in kana.,Image
留学,リュウガク,studying abroad [noun],Write this word in kana.,Image
砂糖,サトウ,sugar [noun],Write this word in kana.,Image
夏休み,なつやすみ,summer break [noun],Write this word in kana.,Image
日曜日,ニチヨウび,sunday [noun],Write this word in kana.,Image
中止,チュウシ,suspension [noun],Write this word in kana.,Image
水飴,スイあめ,syrup [noun],Write this word in kana.,Image
物語,ものがたり,tale [noun],Write this word in kana.,Image
お茶,おチャ,tea [noun],Write this word in kana.,Image
先生,センセイ,teacher [noun],Write this word in kana.,Image
喫茶店,キッサテン,tearoom [noun],Write this word in kana.,Image
電話,デンワ,telephone [noun],Write this word in kana.,Image
電話番号,デンワバンゴウ,telephone number [noun],Write this word in kana.,Image
十日,とおか,ten days [noun],Write this word in kana.,Image
先日,センジツ,the other day [noun],Write this word in kana.,Image
町中,まちジュウ,the whole town [noun],Write this word in kana.,Image
今晩,コンバン,this evening [noun],Write this word in kana.,Image
今月,コンゲツ,this month [noun],Write this word in kana.,Image
今朝,"コンチョウ, けさ",this morning [noun],Write this word in kana.,Image
今週,コンシュウ,this week [noun],Write this word in kana.,Image
今年,"ことし, コンネン",this year [noun],Write this word in kana.,Image
三日,みっか,three days [noun],Write this word in kana.,Image
木曜日,モクヨウび,thursday [noun],Write this word in kana.,Image
窓口,まどぐち,ticket window [noun],Write this word in kana.,Image
時間,ジカン,time period [noun],Write this word in kana.,Image
今日,"コンニチ, きょう",today [noun],Write this word in kana.,Image
お手洗い,おてあらい,toilet [noun],Write this word in kana.,Image
東京,トウキョウ,tokyo [noun],Write this word in kana.,Image
明日,"ミョウニチ, あした",tomorrow [noun],Write this word in kana.,Image
明晩,ミョウバン,tomorrow evening [noun],Write this word in kana.,Image
明朝,ミョウチョウ,tomorrow morning [noun],Write this word in kana.,Image
明夜,ミョウヤ,tomorrow night [noun],Write this word in kana.,Image
今夜,コンヤ,tonight [noun],Write this word in kana.,Image
売買,バイバイ,trade [noun],Write this word in kana.,Image
火曜日,カヨウび,tuesday [noun],Write this word in kana.,Image
二日,ふつか,two days [noun],Write this word in kana.,Image
台風,タイフウ,typhoon [noun],Write this word in kana.,Image
大学,ダイガク,university [noun],Write this word in kana.,Image
大学生,ダイガクセイ,university student [noun],Write this word in kana.,Image
中古車,チュウコシャ,used car [noun],Write this word in kana.,Image
菜園,サイエン,vegetable garden [noun],Write this word in kana.,Image
大忙し,おおいそがし,very busy [noun],Write this word in kana.,Image
火山,カザン,volcano [noun],Write this word in kana.,Image
私ども/私共,わたしども,"we, us (business) [noun]",Write this word in kana.,Image
天気,テンキ,weather [noun],Write this word in kana.,Image
水曜日,スイヨウび,wednesday [noun],Write this word in kana.,Image
何時,なんジ,what time [noun],Write this word in kana.,Image
車椅子,くるまイス,wheelchair [noun],Write this word in kana.,Image
山猫,やまねこ,wild cat [noun],Write this word in kana.,Image
ブドウ酒/葡萄酒,ブドウシュ,wine [noun],Write this word in kana.,Image
冬日,ふゆび,winter sun [noun],Write this word in kana.,Image
冬休み,ふゆやすみ,winter vacation [noun],Write this word in kana.,Image
仕事,シごと,work [noun],Write this word in kana.,Image
再来年,サライネン,year after next [noun],Write this word in kana.,Image
昨日,"サクジツ, きのう",yesterday [noun],Write this word in kana.,Image
昨晩,サクバン,yesterday evening [noun],Write this word in kana.,Image
昨朝,サクチョウ,yesterday morning [noun],Write this word in kana.,Image
弟さん,おとうとさん,younger brother [noun],Write this word in kana.,Image
妹さん,いもうとさん,younger sister [noun],Write this word in kana.,Image
八つ,やっつ,eight things [numeric],Write this word in kana.,Image
五つ,いつつ,five things [numeric],Write this word in kana.,Image
四つ,よっつ,four things [numeric],Write this word in kana.,Image
九つ,ここのつ,nine things [numeric],Write this word in kana.,Image
一つ,ひとつ,one thing [numeric],Write this word in kana.,Image
七つ,ななつ,seven things [numeric],Write this word in kana.,Image
六つ,むっつ,six things [numeric],Write this word in kana.,Image
三つ,みっつ,three things [numeric],Write this word in kana.,Image
二つ,ふたつ,two things [numeric],Write this word in kana.,Image
私たち/私達,わたしたち,"we, us [pronoun]",Write this word in kana.,Image
初め,ぞめ,first doing of [suffix],Write this word in kana.,Image
上る,のぼる,to ascend [verb (godan)],Write this word in kana.,Image
覚ます,さます,to awaken [verb (godan)],Write this word in kana.,Image
休む,やすむ,to be absent [verb (godan)],Write this word in kana.,Image
映る,うつる,to be reflected [verb (godan)],Write this word in kana.,Image
閉まる,しまる,to be shut [verb (godan)],Write this word in kana.,Image
買う,かう,to buy [verb (godan)],Write this word in kana.,Image
聞き取る,ききとる,to catch (words) [verb (godan)],Write this word in kana.,Image
下がる,さがる,to come down [verb (godan)],Write this word in kana.,Image
冷やす,ひやす,to cool [verb (godan)],Write this word in kana.,Image
遅らす,おくらす,to delay [verb (godan)],Write this word in kana.,Image
行う,おこなう,to do [verb (godan)],Write this word in kana.,Image
描く/画く,えがく,to draw [verb (godan)],Write this word in kana.,Image
飲む,のむ,to drink [verb (godan)],Write this word in kana.,Image
楽しむ,たのしむ,to enjoy self [verb (godan)],Write this word in kana.,Image
入る,はいる,to enter [verb (godan)],Write this word in kana.,Image
消す,けす,to erase [verb (godan)],Write this word in kana.,Image
転ぶ,ころぶ,to fall down [verb (godan)],Write this word in kana.,Image
忘れる,わすれる,to forget [verb (godan)],Write this word in kana.,Image
乗る,のる,to get on [verb (godan)],Write this word in kana.,Image
生む,うむ,to give birth [verb (godan)],Write this word in kana.,Image
行く,いく,to go [verb (godan)],Write this word in kana.,Image
聞く,きく,to hear [verb (godan)],Write this word in kana.,Image
好く,すく,to like [verb (godan)],Write this word in kana.,Image
会う,あう,to meet [verb (godan)],Write this word in kana.,Image
図る,はかる,to plan [verb (godan)],Write this word in kana.,Image
好む,このむ,to prefer [verb (godan)],Write this word in kana.,Image
映す,うつす,to project [verb (godan)],Write this word in kana.,Image
映し出す,うつしだす,to project out [verb (godan)],Write this word in kana.,Image
読む,よむ,to read [verb (godan)],Write this word in kana.,Image
表す,あらわす,to represent [verb (godan)],Write this word in kana.,Image
帰る,かえる,to return [verb (godan)],Write this word in kana.,Image
上がる,あがる,to rise [verb (godan)],Write this word in kana.,Image
走る,はしる,to run [verb (godan)],Write this word in kana.,Image
言う,いう,to say [verb (godan)],Write this word in kana.,Image
閉じこもる,とじこもる,to seclude oneself [verb (godan)],Write this word in kana.,Image
売る,うる,to sell [verb (godan)],Write this word in kana.,Image
歌う,うたう,to sing [verb (godan)],Write this word in kana.,Image
立つ,たつ,to stand [verb (godan)],Write this word in kana.,Image
走り出す,はしりだす,to start running [verb (godan)],Write this word in kana.,Image
立ち留まる/立ち止まる,"たちどまる, たちとまる",to stop in tracks [verb (godan)],Write this word in kana.,Image
留まる/止まる/停まる,とまる,to stop moving [verb (godan)],Write this word in kana.,Image
学ぶ,まなぶ,to study [verb (godan)],Write this word in kana.,Image
取る,とる,to take [verb (godan)],Write this word in kana.,Image
出す,だす,to take out [verb (godan)],Write this word in kana.,Image
話す,はなす,to talk [verb (godan)],Write this word in kana.,Image
味わう,あじわう,to taste [verb (godan)],Write this word in kana.,Image
明りを消す,あかりをけす,to turn the lights off [verb (godan)],Write this word in kana.,Image
目を覚ます,めをさます,to wake up [verb (godan)],Write this word in kana.,Image
歩く,あるく,to walk [verb (godan)],Write this word in kana.,Image
洗う,あらう,to wash [verb (godan)],Write this word in kana.,Image
書く,かく,to write [verb (godan)],Write this word in kana.,Image
来る,くる,to come [verb (irregular)],Write this word in kana.,Image
帰って来る,かえってくる,to come back [verb (irregular)],Write this word in kana.,Image
耳にする,みみにする,to hear [verb (irregular)],Write this word in kana.,Image
楽しみにする,たのしみにする,to look forward to [verb (irregular)],Write this word in kana.,Image
達する,タッする,to reach [verb (irregular)],Write this word in kana.,Image
答える,こたえる,to answer [verb (る)],Write this word in kana.,Image
生まれる,うまれる,to be born [verb (る)],Write this word in kana.,Image
と言われる,といわれる,to be called [verb (る)],Write this word in kana.,Image
聞こえる,きこえる,to be heard [verb (る)],Write this word in kana.,Image
遅れる,おくれる,to be late [verb (る)],Write this word in kana.,Image
見える,みえる,to be seen [verb (る)],Write this word in kana.,Image
足りる,たりる,to be sufficient [verb (る)],Write this word in kana.,Image
閉じる,とじる,to close [verb (る)],Write this word in kana.,Image
冷める,さめる,to cool off [verb (る)],Write this word in kana.,Image
数える,かぞえる,to count [verb (る)],Write this word in kana.,Image
下りる/降りる,おりる,to descend [verb (る)],Write this word in kana.,Image
消える,きえる,to disappear [verb (る)],Write this word in kana.,Image
見つける,みつける,to discover [verb (る)],Write this word in kana.,Image
食べる,たべる,to eat [verb (る)],Write this word in kana.,Image
冷える,ひえる,to get cold [verb (る)],Write this word in kana.,Image
出かける,でかける,to go out [verb (る)],Write this word in kana.,Image
下げる,さげる,to hang [verb (る)],Write this word in kana.,Image
出る,でる,to leave [verb (る)],Write this word in kana.,Image
生きる,いきる,to live [verb (る)],Write this word in kana.,Image
鍵をかげる,かぎをかげる,to lock [verb (る)],Write this word in kana.,Image
音を立てる,おとをたてる,to make a sound [verb (る)],Write this word in kana.,Image
覚える,おぼえる,to memorise [verb (る)],Write this word in kana.,Image
乗り遅れる,のりおくれる,to miss [verb (る)],Write this word in kana.,Image
乗せる,のせる,to place on [verb (る)],Write this word in kana.,Image
入れる,いれる,to put in [verb (る)],Write this word in kana.,Image
上げる,あげる,to raise [verb (る)],Write this word in kana.,Image
見る,みる,to see [verb (る)],Write this word in kana.,Image
売れる,うれる,to sell well [verb (る)],Write this word in kana.,Image
映える,はえる,to shine [verb (る)],Write this word in kana.,Image
見せる,みせる,to show [verb (る)],Write this word in kana.,Image
閉める,しめる,to shut [verb (る)],Write this word in kana.,Image
立てる,たてる,to stand up [verb (る)],Write this word in kana.,Image
留める/止める/停める,とめる,to stop [verb (る)],Write this word in kana.,Image
用いる,もちいる,to use [verb (る)],Write this word in kana.,Image
もう少し,もうすこし,a bit more [],Write this word in kana.,Image
何の,なんの,what kind [],Write this word in kana.,Image
